field_1;yLat;xLon;total;MRGID;GEONAME;MRGID_TER1;POL_TYPE;MRGID_SOV1;TERRITORY1;ISO_TER1;SOVEREIGN1;MRGID_TER2;MRGID_SOV2;TERRITORY2;ISO_TER2;SOVEREIGN2;MRGID_TER3;MRGID_SOV3;TERRITORY3;ISO_TER3;SOVEREIGN3;X_1;Y_1;MRGID_EEZ;AREA_KM2;ISO_SOV1;ISO_SOV2;ISO_SOV3;UN_SOV1;UN_SOV2;UN_SOV3;UN_TER1;UN_TER2;UN_TER3
11;-19,5;9,5;108210;8395,0;Namibian Exclusive Economic Zone;2218,0;200NM;2218,0;Namibia;NAM;Namibia;0,0;0,0;;;;0,0;0,0;;;;12,28547;-23,64969;8395,0;562212,0;NAM;;;516;;;516;;
19;-18,5;8,5;181160;8395,0;Namibian Exclusive Economic Zone;2218,0;200NM;2218,0;Namibia;NAM;Namibia;0,0;0,0;;;;0,0;0,0;;;;12,28547;-23,64969;8395,0;562212,0;NAM;;;516;;;516;;
30;-17,5;8,5;1751420;8395,0;Namibian Exclusive Economic Zone;2218,0;200NM;2218,0;Namibia;NAM;Namibia;0,0;0,0;;;;0,0;0,0;;;;12,28547;-23,64969;8395,0;562212,0;NAM;;;516;;;516;;
31;-17,5;9,5;172130;8395,0;Namibian Exclusive Economic Zone;2218,0;200NM;2218,0;Namibia;NAM;Namibia;0,0;0,0;;;;0,0;0,0;;;;12,28547;-23,64969;8395,0;562212,0;NAM;;;516;;;516;;
32;-17,5;10,5;1097330;8395,0;Namibian Exclusive Economic Zone;2218,0;200NM;2218,0;Namibia;NAM;Namibia;0,0;0,0;;;;0,0;0,0;;;;12,28547;-23,64969;8395,0;562212,0;NAM;;;516;;;516;;
40;-16,5;8,5;938540;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
41;-16,5;9,5;2054890;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
42;-16,5;10,5;2851400;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
43;-16,5;11,5;1121360;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
53;-15,5;8,5;595250;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
54;-15,5;9,5;1147220;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
55;-15,5;10,5;2503220;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
56;-15,5;11,5;2562080;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
64;-14,5;9,5;447320;8478,0;Angolan Exclusive Economic Zone;2150,0;200NM;2150,0;Angola;AGO;Angola;0,0;0,0;;;;0,0;0,0;;;;11,03537;-11,7011;8478,0;495866,0;AGO;;;24;;;24;;
